"5","nathalieclaessens","CD&V","605","Nathalie","Claessens","1987-06-26","Essen",""
"6","dirkcrollet","CD&V",\N,"Dirk","Crollet","1961-02-09","Boechout",""
"7","jodaelemans","CD&V",\N,"Jo","Daelemans","1959-02-10","Lier",\N
"8","anndeceunynck","CD&V",\N,"Ann","De Ceunynck","1961-07-22","Schoten",\N
"9","bertdekeyser","CD&V","1207","Bert","De Keyser","1968-11-20","Sint-Katelijne-Waver",""
"10","miadeschamphelaere","CD&V","1337","Mia","De Schamphelaere","1961-05-28","Edegem",""
"11","daandeveuster","CD&V","3312","Daan","De Veuster","1978-02-13","Sint-Job-in-'t-Goor",""
"12","annemiederkinderen","CD&V",\N,"Annemie","Der Kinderen","1974-06-05","Turnhout",\N
"13","tomdewandelaere","CD&V","559","Tom","Dewandelaere","1993-08-30","Aartselaar",\N
"14","nelegeudens","CD&V","3658","Nele","Geudens","1980-04-05","Meerhout","Alderman (or Chair of CPAS)"
"15","veragoris","CD&V",\N,"Vera","Goris","1961-04-08","Schelle",""
"16","jamilahamddanlachkar","CD&V","771","Jamila","Hamddan Lachkar","1972-07-06","Mechelen",""
"17","mauricehelsen","CD&V","560","Maurice","Helsen","1965-03-14","Herenthout",""
"18","lukasjacobs","CD&V","2069","Lukas","Jacobs","1968-09-29","Kalmthout","Mayor"
"19","sonjajanssens","CD&V","1300","Sonja","Janssens","1963-01-01","Kapellen",""
"20","michellacroix","CD&V","616","Michel","Lacroix","1966-06-08","Deurne",""
"21","willymisitulufungala","CD&V",\N,"Willy","Misitu Lufungala","1967-12-24","Borgerhout",\N
"22","leonys","CD&V","2078","Leo","Nys","1949-01-27","Oud-Turnhout","Mayor"
"23","maximepenen","CD&V","606","Maxime","Penen","1985-01-19","Antwerpen",\N
"24","suzyput","CD&V",\N,"Suzy","Put","1960-11-29","Berlaar",\N
"25","yannickrombauts","CD&V","0","Yannick","Rombauts","1986-09-16","Putte",\N
"26","lilasharma","CD&V",\N,"Lila","Sharma","1968-07-14","Borgerhout",\N
"27","mayastepien","CD&V",\N,"Maya","Stepien","1968-06-12","Mortsel",\N
"28","lilistevens","CD&V","1102","Lili","Stevens","1960-12-01","Duffel","Province or municipal councillor"
"29","stannytuyteleers","CD&V",\N,"Stanny","Tuyteleers","1952-06-14","Lint",\N
"30","nelevanbroekhoven","CD&V",\N,"Nele","Van Broekhoven","1996-01-01","Niel",\N
"31","stephanievancampenhout","CD&V","766","Stephanie","Van Campenhout","1989-03-20","Lier",\N
"32","lucvancraenendonck","CD&V",\N,"Luc","Van Craenendonck","1996-01-01","Mol",\N
"33","orryvandewauwer","CD&V","132","Orry","Van de Wauwer","1988-03-01","'S Gravenwezel",""
"34","miekevandenbrande","CD&V","3286","Mieke","Van den Brande","1973-03-28","Bonheiden",""
"35","wimvandenbruel","CD&V","0","Wim","Van Den Bruel","1972-06-20","Heist-op-den-Berg",\N
"36","marijkevandermoeren","CD&V",\N,"Marijke","Van Der Moeren","1986-08-05","Ravels",\N
