"5","nathalieclaessens","CD&V","605.jpg","Nathalie","Claessens","1987-06-26","Essen",""
"9","bertdekeyser","CD&V","1207.jpg","Bert","De Keyser","1968-11-20","Sint-Katelijne-Waver",""
"10","miadeschamphelaere","CD&V","1337.png","Mia","De Schamphelaere","1961-05-28","Edegem",""
"11","daandeveuster","CD&V","3312.jpg","Daan","De Veuster","1978-02-13","Sint-Job-in-'t-Goor",""
"13","tomdewandelaere","CD&V","559.jpg","Tom","Dewandelaere","1993-08-30","Aartselaar",\N
"14","nelegeudens","CD&V","3658.jpg","Nele","Geudens","1980-04-05","Meerhout","Alderman (or Chair of CPAS)"
"16","jamilahamddanlachkar","CD&V","771.jpg","Jamila","Hamddan Lachkar","1972-07-06","Mechelen",""
"17","mauricehelsen","CD&V","560.jpg","Maurice","Helsen","1965-03-14","Herenthout",""
"18","lukasjacobs","CD&V","2069.jpg","Lukas","Jacobs","1968-09-29","Kalmthout","Mayor"
"19","sonjajanssens","CD&V","1300.jpg","Sonja","Janssens","1963-01-01","Kapellen",""
"20","michellacroix","CD&V","616.jpg","Michel","Lacroix","1966-06-08","Deurne",""
"22","leonys","CD&V","2078.jpg","Leo","Nys","1949-01-27","Oud-Turnhout","Mayor"
"23","maximepenen","CD&V","606.jpg","Maxime","Penen","1985-01-19","Antwerpen",\N
"28","lilistevens","CD&V","1102.jpg","Lili","Stevens","1960-12-01","Duffel","Province or municipal councillor"
"31","stephanievancampenhout","CD&V","766.jpg","Stephanie","Van Campenhout","1989-03-20","Lier",\N
"33","orryvandewauwer","CD&V","132.jpg","Orry","Van de Wauwer","1988-03-01","'S Gravenwezel",""
"34","miekevandenbrande","CD&V","3286.png","Mieke","Van den Brande","1973-03-28","Bonheiden",""
"37","guyvanhirtum","CD&V","2097.jpg","Guy","Van Hirtum","1959-04-04","Westerlo","Mayor"
"39","guyvanherck","CD&V","2295.jpg","Guy","Vanherck","1962-06-01","Retie","Provincie of gemeenteraadslid"
"40","paulverbeeck","CD&V","2112.jpg","Paul","Verbeeck","1957-06-13","Nijlen","Mayor"
